block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,33573.914,191.166,2.9336,3.8163,9.44e-08,6e-09,122.02,106.03,96.16,269.99,8.4
1.2,33575.031,180.226,2.9289,3.8163,9.47e-08,6.06e-09,122.02,106.03,96.15,269.99,8.4
2.3,33576.162,189.012,2.9739,3.6599,9.49e-08,5.99e-09,122.02,106.03,96.15,270.0,8.4
3.4,33577.282,183.067,2.9439,3.7225,9.47e-08,5.93e-09,122.02,106.03,96.16,270.01,8.4
4.5,33578.396,194.381,2.9373,3.7851,9.42e-08,5.91e-09,122.02,106.03,96.16,270.01,8.4
5.6,33579.518,191.687,2.9007,3.8476,9.49e-08,5.92e-09,122.02,106.04,96.16,269.99,8.4
6.8,33580.633,182.104,2.9767,3.8476,9.45e-08,5.91e-09,122.01,106.03,96.16,269.99,8.8
7.9,33581.766,179.392,2.9561,3.7851,9.4e-08,5.99e-09,122.01,106.03,96.16,270.0,8.8
9.0,33582.891,187.975,2.927,3.7851,9.52e-08,6.02e-09,122.0,106.04,96.16,270.01,8.8
10.1,33584.005,187.338,2.8078,3.8476,9.52e-08,5.94e-09,122.0,106.03,96.16,270.01,8.8
11.2,33585.118,189.674,2.9514,3.8476,9.45e-08,6.05e-09,122.01,106.04,96.16,269.99,8.8
12.4,33586.22,182.916,2.8472,3.8163,9.5e-08,5.99e-09,122.02,106.04,96.16,269.99,8.8
13.5,33587.334,189.015,2.9486,3.8163,9.58e-08,5.95e-09,122.0,106.04,96.16,269.99,8.8
14.6,33588.476,179.07,2.9308,3.9102,9.4e-08,5.99e-09,122.0,106.03,96.16,269.99,8.8
15.7,33589.585,183.914,2.9965,3.7851,9.45e-08,5.93e-09,122.01,106.03,96.17,270.0,8.8
16.8,33590.701,182.793,2.9317,3.8789,9.37e-08,5.9e-09,122.02,106.03,96.16,270.0,8.4
17.9,33591.818,171.747,2.8979,3.8789,9.45e-08,5.99e-09,122.01,106.03,96.16,269.99,8.4
19.1,33592.935,185.765,2.9711,3.7538,9.45e-08,5.9e-09,122.02,106.03,96.16,269.99,8.4
20.2,33594.076,187.642,2.9298,3.8476,9.44e-08,5.96e-09,122.02,106.03,96.16,270.0,8.4
21.3,33595.186,192.439,2.9373,3.8789,9.5e-08,6.02e-09,122.02,106.03,96.16,270.02,8.4
22.4,33596.301,188.72,2.9223,3.9727,9.46e-08,5.98e-09,122.02,106.04,96.16,270.01,8.4
23.5,33597.418,189.591,2.9411,3.8789,9.47e-08,6.04e-09,122.02,106.03,96.16,269.99,8.4
24.7,33598.536,187.402,2.8979,3.8163,9.47e-08,6e-09,122.02,106.03,96.16,269.99,8.4
25.8,33599.668,190.066,2.9486,3.8789,9.42e-08,5.93e-09,122.02,106.04,96.16,269.99,8.4
26.9,33600.779,184.091,2.8735,3.7851,9.5e-08,5.91e-09,122.02,106.04,96.16,270.0,8.8
28.0,33601.897,191.029,2.8332,3.8163,9.45e-08,5.96e-09,122.02,106.04,96.16,270.0,8.8
29.1,33603.008,173.645,2.9655,3.8163,9.48e-08,5.93e-09,122.02,106.04,96.16,270.0,8.8
30.3,33604.128,187.249,2.9261,3.8476,9.55e-08,5.97e-09,122.01,106.04,96.16,269.99,8.8
31.4,33605.236,185.127,2.7787,4.0353,9.45e-08,6.05e-09,122.01,106.04,96.16,269.99,8.8
32.5,33606.366,190.359,2.9308,3.7225,9.45e-08,6.03e-09,122.01,106.04,96.16,269.99,8.8
33.6,33607.488,169.11,2.9739,3.6287,9.36e-08,6.05e-09,122.01,106.03,96.16,269.99,8.8
34.7,33608.597,174.557,2.9533,3.8476,9.48e-08,5.99e-09,122.01,106.03,96.16,270.01,8.8
35.8,33609.707,187.343,2.9721,3.8476,9.43e-08,5.92e-09,122.01,106.03,96.16,270.01,8.8
36.9,33610.815,179.181,2.9749,3.7538,9.45e-08,5.93e-09,122.01,106.03,96.16,270.0,8.4
38.1,33611.934,185.305,2.9336,3.8476,9.42e-08,5.92e-09,122.01,106.03,96.16,270.0,8.4
39.2,33613.071,191.495,2.9561,3.7538,9.47e-08,5.92e-09,122.01,106.03,96.16,269.99,8.4
40.3,33614.184,185.12,2.7806,3.8476,9.51e-08,5.95e-09,122.02,106.03,96.16,270.0,8.4
41.4,33615.298,193.41,2.912,3.9415,9.45e-08,6.05e-09,122.01,106.03,96.16,270.0,8.4
42.5,33616.406,166.793,2.9777,3.7851,9.46e-08,6e-09,122.01,106.03,96.16,269.99,8.4
43.7,33617.531,192.471,2.9721,3.8163,9.41e-08,6.05e-09,122.02,106.04,96.16,270.0,8.4
44.8,33618.664,167.157,2.8763,3.8789,9.47e-08,6.01e-09,122.01,106.04,96.16,270.0,8.4
45.9,33619.775,191.831,2.7806,3.9415,9.42e-08,5.92e-09,122.02,106.04,96.16,270.0,8.4
47.0,33620.889,186.744,2.973,3.8789,9.51e-08,5.89e-09,122.02,106.04,96.16,269.99,8.8
48.1,33622.009,175.197,2.9608,3.7851,9.39e-08,5.91e-09,122.02,106.03,96.16,270.0,8.8
49.3,33623.123,184.417,2.7984,3.9102,9.45e-08,5.88e-09,122.01,106.04,96.16,270.01,8.8
50.4,33624.235,184.237,2.8604,3.8476,9.49e-08,5.94e-09,122.02,106.04,96.16,270.0,8.8
51.5,33625.368,192.978,2.9739,3.8476,9.36e-08,6.02e-09,122.01,106.03,96.16,269.99,8.8
52.6,33626.497,184.594,2.9326,3.7851,9.45e-08,5.95e-09,122.01,106.04,96.16,269.99,8.8
53.7,33627.618,190.297,2.957,3.7538,9.45e-08,6.04e-09,122.01,106.03,96.16,270.0,8.8
54.9,33628.738,188.466,2.9721,3.8163,9.51e-08,5.99e-09,122.02,106.03,96.16,270.0,8.8
56.0,33629.865,189.059,2.9495,3.8476,9.42e-08,5.91e-09,122.01,106.03,96.16,270.0,8.8
57.1,33630.982,185.081,2.9439,3.6912,9.43e-08,6e-09,122.01,106.03,96.16,270.01,8.8
58.2,33632.102,187.929,2.8885,4.1604,9.45e-08,5.93e-09,122.01,106.03,96.16,269.99,8.8
59.3,33633.216,186.209,2.9899,3.7538,9.43e-08,5.92e-09,122.01,106.03,96.16,269.99,8.8
